Location #,Route,Extents,Date Implemented,Removal Date,Closed Length (km),Current Operational Length (km),Weekend Only Length (km),Upcoming Length (km),Future Length (km),Total (km)
1,Memorial Drive (south carriageway),9 Street NW to Centre Street Bridge Lower Deck,"Saturday March 6, 2021","Sunday, October 24, 2021",1.70,0,0,0,0,1.70
2,Centre Street Bridge (lower deck all lanes),Riverfront Ave SE to Memorial Drive NW,"Saturday March 6, 2021","Wednesday, November 3, 2021",0.20,0,0,0,0,0.20
3,12 Street SE (west side curb lane),8 Ave SE to 21 Ave SE,"Saturday March 28, 2020",Active,0.00,0.65,0,0,0,0.65
4,Elbow Drive SW (east side curb lane),Between 38 Ave SW and 4 St SW,"Sunday, March 21, 2021","Thursday, July 1, 2021",1.85,0,0,0,0,1.85
5,Crowchild Trail SW,South of Linden Drive SW to 66 Ave SW,"Thursday Aug 19, 2021",Active,0.00,0.5,0,0,0,0.50
6,Crescent Road NW,1ST NW to 7A Street,"Tuesday, April 14, 2020",Active,0.00,1.25,0,0,0,1.25
7,50 Ave SW,14a St SW to 19 St SW,"Wednesday April 14, 2021",Active,0.00,0.37,0,0,0,0.37
8,Riverfront Ave,From 4 Ave flyover to 1st SE,"Saturday, December 12, 2020","Thursday, April 8, 2021",0.50,0,0,0,0,0.50
9,4 Ave SW Connector,From pumphouse Rd to 10 Street,"Saturday, March 27, 2021","Sunday, June 27, 2021",1.20,0,0,0,0,1.20
10,Crescent Road NW,1 ST NW to 6A St NW,"Saturday, June 19, 2021","Wednesday, November 24, 2021",1.10,,,,,1.10
11,4 St SW,Mission Bridge (Between Elbow Dr/26 Ave and Roxboro RD SW/Rideau RD SW),"Sunday March 21, 2021","Thursday, July 1, 2021",0.20,,,,,0.20
